Product SKU,Barcode EAN,HS Codes,Type,Taxons,Size,Colour,Product Name,Price,Inventory (qty),Composition,COO,MOQ,OQI,Image Source,Weight,Pieces Per Pack
,,,,,,,,,,,,,,,,
,,,Product,tcs-clothing,,,Polo,�35.00,,50 % Polyester / 50% Cotton,,,,,,
,,,,,,,,,,,,,,,,
TCS1101,604565744111,,Variant,,XS,Black,Polo Shirt - Men's,�35.00,,50 % Polyester / 50% Cotton,,1,1,,,
,,,,,,,,,,,,,,,,
TCS1102,604565744180,,Variant,,S,Black,Polo Shirt - Men's,�35.00,,50 % Polyester / 50% Cotton,,1,1,,,
,,,,,,,,,,,,,,,,
TCS1103,604565744319,,Variant,,M,Black,Polo Shirt - Men's,�35.00,,50 % Polyester / 50% Cotton,,1,1,,,
,,,,,,,,,,,,,,,,
TCS1104,604565744449,,Variant,,L,Black,Polo Shirt - Men's,�35.00,,50 % Polyester / 50% Cotton,,1,1,,,
,,,,,,,,,,,,,,,,
TCS1105,604565744579,,Variant,,XL,Black,Polo Shirt - Men's,�35.00,,50 % Polyester / 50% Cotton,,1,1,,,
,,,,,,,,,,,,,,,,
TCS1106,604565744708,,Variant,,2XL,Black,Polo Shirt - Men's,�35.00,,50 % Polyester / 50% Cotton,,1,1,,,
,,,,,,,,,,,,,,,,
TCS1107,604565744838,,Variant,,XS,Black,Polo Shirt - Women's,�35.00,,50 % Polyester / 50% Cotton,,1,1,,,
,,,,,,,,,,,,,,,,
TCS1108,604565744876,,Variant,,S,Black,Polo Shirt - Women's,�35.00,,50 % Polyester / 50% Cotton,,1,1,,,
,,,,,,,,,,,,,,,,
TCS1109,604565744883,,Variant,,M,Black,Polo Shirt - Women's,�35.00,,50 % Polyester / 50% Cotton,,1,1,,,
,,,,,,,,,,,,,,,,
TCS1110,604565744890,,Variant,,L,Black,Polo Shirt - Women's,�35.00,,50 % Polyester / 50% Cotton,,1,1,,,
,,,,,,,,,,,,,,,,
TCS1111,604565744968,,Variant,,XL,Black,Polo Shirt - Women's,�35.00,,50 % Polyester / 50% Cotton,,1,1,,,
,,,,,,,,,,,,,,,,
TCS1112,604565745057,,Variant,,2XL,Black,Polo Shirt - Women's,�35.00,,50 % Polyester / 50% Cotton,,1,1,,,
,,,,,,,,,,,,,,,,
,,,Product,tcs-clothing,,,Gilet,�62.00,,100% Polyester Twill,,,,,,
,,,,,,,,,,,,,,,,
TCS1113,604565745064,,Variant,,XS,Black,Gilet - Men's,�62.00,,100% Polyester Twill,,1,1,,,
,,,,,,,,,,,,,,,,
TCS1114,604565745071,,Variant,,S,Black,Gilet - Men's,�62.00,,100% Polyester Twill,,1,1,,,
,,,,,,,,,,,,,,,,
TCS1115,604565745088,,Variant,,M,Black,Gilet - Men's,�62.00,,100% Polyester Twill,,1,1,,,
,,,,,,,,,,,,,,,,
TCS1116,604565745095,,Variant,,L,Black,Gilet - Men's,�62.00,,100% Polyester Twill,,1,1,,,
,,,,,,,,,,,,,,,,
TCS1117,604565745101,,Variant,,XL,Black,Gilet - Men's,�62.00,,100% Polyester Twill,,1,1,,,
,,,,,,,,,,,,,,,,
TCS1118,604565745118,,Variant,,2XL,Black,Gilet - Men's,�62.00,,100% Polyester Twill,,1,1,,,
,,,,,,,,,,,,,,,,
TCS1119,604565745125,,Variant,,XS,Black,Gilet - Women's,�62.00,,100% Polyester Twill,,1,1,,,
,,,,,,,,,,,,,,,,
TCS1120,604565745521,,Variant,,S,Black,Gilet - Women's,�62.00,,100% Polyester Twill,,1,1,,,
,,,,,,,,,,,,,,,,
TCS1121,604565745538,,Variant,,M,Black,Gilet - Women's,�62.00,,100% Polyester Twill,,1,1,,,
,,,,,,,,,,,,,,,,
TCS1122,604565745545,,Variant,,L,Black,Gilet - Women's,�62.00,,100% Polyester Twill,,1,1,,,
,,,,,,,,,,,,,,,,
TCS1123,604565745552,,Variant,,XL,Black,Gilet - Women's,�62.00,,100% Polyester Twill,,1,1,,,
,,,,,,,,,,,,,,,,
TCS1124,604565745569,,Variant,,2XL,Black,Gilet - Women's,�62.00,,100% Polyester Twill,,1,1,,,
,,,,,,,,,,,,,,,,
TCS1125,604565745576,,Product,tcs-accessories,One Size,Black,Baseball Cap,�16.50,,100% Recycled Polyester Twill,,1,1,,,
